round,number,driver,raw_status,started,on_road_finish,note,source
1,1,Max VerstappenVER,1:31:44.742,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,11,Sergio PerezPER,+22.457s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,55,Carlos SainzSAI,+25.110s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,16,Charles LeclercLEC,+39.669s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,63,George RussellRUS,+46.788s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,4,Lando NorrisNOR,+48.458s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,44,Lewis HamiltonHAM,+50.324s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,81,Oscar PiastriPIA,+56.082s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,14,Fernando AlonsoALO,+74.887s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,18,Lance StrollSTR,+93.216s,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,20,Kevin MagnussenMAG,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,23,Alexander AlbonALB,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,27,Nico HulkenbergHUL,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,31,Esteban OconOCO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,10,Pierre GaslyGAS,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
1,2,Logan SargeantSAR,+2 laps,1,1,,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
2,1,Max VerstappenVER,1:20:43.273,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,11,Sergio PerezPER,+13.643s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,16,Charles LeclercLEC,+18.639s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,81,Oscar PiastriPIA,+32.007s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,14,Fernando AlonsoALO,+35.759s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,63,George RussellRUS,+39.936s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,38,Oliver BearmanBEA,+42.679s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,4,Lando NorrisNOR,+45.708s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,44,Lewis HamiltonHAM,+47.391s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,27,Nico HulkenbergHUL,+76.996s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,23,Alexander AlbonALB,+88.354s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,20,Kevin MagnussenMAG,+105.737s,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,31,Esteban OconOCO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,2,Logan SargeantSAR,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,22,Yuki TsunodaTSU,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,18,Lance StrollSTR,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2,10,Pierre GaslyGAS,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
3,55,Carlos SainzSAI,1:20:26.843,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,16,Charles LeclercLEC,+2.366s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,4,Lando NorrisNOR,+5.904s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,81,Oscar PiastriPIA,+35.770s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,11,Sergio PerezPER,+56.309s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,18,Lance StrollSTR,+93.222s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,22,Yuki TsunodaTSU,+95.601s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,14,Fernando AlonsoALO,+100.992s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,27,Nico HulkenbergHUL,+104.553s,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,20,Kevin MagnussenMAG,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,23,Alexander AlbonALB,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,3,Daniel RicciardoRIC,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,10,Pierre GaslyGAS,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,77,Valtteri BottasBOT,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,24,Zhou GuanyuZHO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,31,Esteban OconOCO,+1 lap,1,1,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,63,George RussellRUS,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,44,Lewis HamiltonHAM,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
3,1,Max VerstappenVER,DNF,1,0,,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
4,1,Max VerstappenVER,1:54:23.566,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,11,Sergio PerezPER,+12.535s,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
4,55,Carlos SainzSAI,+20.866s,1,1,,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
