round,race,starts,on_road_finishes,source
1,bahrain,20,20,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
2,saudi-arabia,20,18,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
3,australia,19,16,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
4,japan,20,17,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
5,china,20,17,https://www.formula1.com/en/results/2024/races/1233/china/race-result
6,miami,20,19,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
7,emilia-romagna,20,19,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
8,monaco,20,16,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
9,canada,20,15,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
10,spain,20,20,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
11,austria,20,19,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
12,great-britain,19,18,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
13,hungary,20,19,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
14,belgium,20,19,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
15,netherlands,20,20,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
16,italy,20,19,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
17,azerbaijan,20,16,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
18,singapore,20,18,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
19,united-states,20,19,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
20,mexico,20,17,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
21,brazil,18,15,https://www.formula1.com/en/results/2024/races/1249/brazil/race-result
22,las-vegas,20,18,https://www.formula1.com/en/results/2024/races/1250/las-vegas/race-result
23,qatar,20,15,https://www.formula1.com/en/results/2024/races/1251/qatar/race-result
24,abu-dhabi,20,16,https://www.formula1.com/en/results/2024/races/1252/abu-dhabi/race-result
