year,round,race,starts,retirements,confirmed_incident_retirements,result_url
2014,1,australia,22,7,,https://www.formula1.com/en/results/2014/races/898/australia/race-result
2014,2,malaysia,21,6,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result
2014,3,bahrain,22,6,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result
2014,4,china,22,2,,https://www.formula1.com/en/results/2014/races/901/china/race-result
2014,5,spain,22,2,,https://www.formula1.com/en/results/2014/races/902/spain/race-result
2014,6,monaco,21,7,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result
2014,7,canada,22,11,,https://www.formula1.com/en/results/2014/races/904/canada/race-result
2014,8,austria,22,3,,https://www.formula1.com/en/results/2014/races/905/austria/race-result
2014,9,great-britain,22,6,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result
2014,10,germany,22,4,,https://www.formula1.com/en/results/2014/races/907/germany/race-result
2014,11,hungary,22,6,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result
2014,12,belgium,22,5,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result
2014,13,italy,22,2,,https://www.formula1.com/en/results/2014/races/910/italy/race-result
2014,14,singapore,21,4,,https://www.formula1.com/en/results/2014/races/911/singapore/race-result
2014,15,japan,22,3,,https://www.formula1.com/en/results/2014/races/912/japan/race-result
2014,16,russia,21,2,,https://www.formula1.com/en/results/2014/races/913/russia/race-result
2014,17,united-states,18,3,,https://www.formula1.com/en/results/2014/races/914/united-states/race-result
2014,18,brazil,18,2,,https://www.formula1.com/en/results/2014/races/915/brazil/race-result
2014,19,abu-dhabi,20,3,,https://www.formula1.com/en/results/2014/races/916/abu-dhabi/race-result
2024,1,bahrain,20,0,0,https://www.formula1.com/en/results/2024/races/1229/bahrain/race-result
2024,2,saudi-arabia,20,2,1,https://www.formula1.com/en/results/2024/races/1230/saudi-arabia/race-result
2024,3,australia,19,3,1,https://www.formula1.com/en/results/2024/races/1231/australia/race-result
2024,4,japan,20,3,2,https://www.formula1.com/en/results/2024/races/1232/japan/race-result
2024,5,china,20,3,2,https://www.formula1.com/en/results/2024/races/1233/china/race-result
2024,6,miami,20,1,1,https://www.formula1.com/en/results/2024/races/1234/miami/race-result
2024,7,emilia-romagna,20,1,0,https://www.formula1.com/en/results/2024/races/1235/emilia-romagna/race-result
2024,8,monaco,20,4,4,https://www.formula1.com/en/results/2024/races/1236/monaco/race-result
2024,9,canada,20,5,4,https://www.formula1.com/en/results/2024/races/1237/canada/race-result
2024,10,spain,20,0,0,https://www.formula1.com/en/results/2024/races/1238/spain/race-result
2024,11,austria,20,1,1,https://www.formula1.com/en/results/2024/races/1239/austria/race-result
2024,12,great-britain,19,1,0,https://www.formula1.com/en/results/2024/races/1240/great-britain/race-result
2024,13,hungary,20,1,0,https://www.formula1.com/en/results/2024/races/1241/hungary/race-result
2024,14,belgium,20,1,0,https://www.formula1.com/en/results/2024/races/1242/belgium/race-result
2024,15,netherlands,20,0,0,https://www.formula1.com/en/results/2024/races/1243/netherlands/race-result
2024,16,italy,20,1,1,https://www.formula1.com/en/results/2024/races/1244/italy/race-result
2024,17,azerbaijan,20,4,3,https://www.formula1.com/en/results/2024/races/1245/azerbaijan/race-result
2024,18,singapore,20,2,1,https://www.formula1.com/en/results/2024/races/1246/singapore/race-result
2024,19,united-states,20,1,1,https://www.formula1.com/en/results/2024/races/1247/united-states/race-result
2024,20,mexico,20,3,2,https://www.formula1.com/en/results/2024/races/1248/mexico/race-result
2024,21,brazil,18,2,2,https://www.formula1.com/en/results/2024/races/1249/brazil/race-result
2024,22,las-vegas,20,2,0,https://www.formula1.com/en/results/2024/races/1250/las-vegas/race-result
2024,23,qatar,20,5,3,https://www.formula1.com/en/results/2024/races/1251/qatar/race-result
2024,24,abu-dhabi,20,4,2,https://www.formula1.com/en/results/2024/races/1252/abu-dhabi/race-result
