year,round,number,driver,raw_status,counted_retirement,category,result_url,cause_source,additional_source,note
2014,1,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,13,Pastor MaldonadoMAL,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,9,Marcus EricssonERI,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,1,Sebastian VettelVET,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,44,Lewis HamiltonHAM,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,19,Felipe MassaMAS,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,1,10,Kamui KobayashiKOB,DNF,1,,https://www.formula1.com/en/results/2014/races/898/australia/race-result,,,
2014,2,3,Daniel RicciardoRIC,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,2,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,2,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,2,25,Jean-Eric VergneVER,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,2,17,Jules BianchiBIA,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,2,13,Pastor MaldonadoMAL,DNF,1,,https://www.formula1.com/en/results/2014/races/899/malaysia/race-result,,,
2014,3,22,Jenson ButtonBUT,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,3,20,Kevin MagnussenMAG,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,3,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,3,9,Marcus EricssonERI,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,3,25,Jean-Eric VergneVER,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,3,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/900/bahrain/race-result,,,
2014,4,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/901/china/race-result,,,
2014,4,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/901/china/race-result,,,
2014,5,10,Kamui KobayashiKOB,DNF,1,,https://www.formula1.com/en/results/2014/races/902/spain/race-result,,,
2014,5,25,Jean-Eric VergneVER,DNF,1,,https://www.formula1.com/en/results/2014/races/902/spain/race-result,,,
2014,6,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,77,Valtteri BottasBOT,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,25,Jean-Eric VergneVER,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,26,Daniil KvyatKVY,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,1,Sebastian VettelVET,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,6,11,Sergio PerezPER,DNF,1,,https://www.formula1.com/en/results/2014/races/903/monaco/race-result,,,
2014,7,11,Sergio PerezPER,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,19,Felipe MassaMAS,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,26,Daniil KvyatKVY,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,44,Lewis HamiltonHAM,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,10,Kamui KobayashiKOB,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,13,Pastor MaldonadoMAL,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,9,Marcus EricssonERI,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,4,Max ChiltonCHI,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,7,17,Jules BianchiBIA,DNF,1,,https://www.formula1.com/en/results/2014/races/904/canada/race-result,,,
2014,8,25,Jean-Eric VergneVER,DNF,1,,https://www.formula1.com/en/results/2014/races/905/austria/race-result,,,
2014,8,1,Sebastian VettelVET,DNF,1,,https://www.formula1.com/en/results/2014/races/905/austria/race-result,,,
2014,8,26,Daniil KvyatKVY,DNF,1,,https://www.formula1.com/en/results/2014/races/905/austria/race-result,,,
2014,9,13,Pastor MaldonadoMAL,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,9,6,Nico RosbergROS,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,9,9,Marcus EricssonERI,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,9,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,9,19,Felipe MassaMAS,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,9,7,Kimi RäikkönenRAI,DNF,1,,https://www.formula1.com/en/results/2014/races/906/great-britain/race-result,,,
2014,10,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/907/germany/race-result,,,
2014,10,26,Daniil KvyatKVY,DNF,1,,https://www.formula1.com/en/results/2014/races/907/germany/race-result,,,
2014,10,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/907/germany/race-result,,,
2014,10,19,Felipe MassaMAS,DNF,1,,https://www.formula1.com/en/results/2014/races/907/germany/race-result,,,
2014,11,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,11,10,Kamui KobayashiKOB,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,11,11,Sergio PerezPER,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,11,27,Nico HulkenbergHUL,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,11,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,11,9,Marcus EricssonERI,DNF,1,,https://www.formula1.com/en/results/2014/races/908/hungary/race-result,,,
2014,12,17,Jules BianchiBIA,DNF,1,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result,,,
2014,12,44,Lewis HamiltonHAM,DNF,1,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result,,,
2014,12,8,Romain GrosjeanGRO,DNF,1,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result,,,
2014,12,13,Pastor MaldonadoMAL,DNF,1,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result,,,
2014,12,45,Andre LottererLOT,DNF,1,,https://www.formula1.com/en/results/2014/races/909/belgium/race-result,,,
2014,13,14,Fernando AlonsoALO,DNF,1,,https://www.formula1.com/en/results/2014/races/910/italy/race-result,,,
2014,13,4,Max ChiltonCHI,DNF,1,,https://www.formula1.com/en/results/2014/races/910/italy/race-result,,,
2014,14,22,Jenson ButtonBUT,DNF,1,,https://www.formula1.com/en/results/2014/races/911/singapore/race-result,,,
2014,14,99,Adrian SutilSUT,DNF,1,,https://www.formula1.com/en/results/2014/races/911/singapore/race-result,,,
2014,14,21,Esteban Gutierrez GUT,DNF,1,,https://www.formula1.com/en/results/2014/races/911/singapore/race-result,,,
2014,14,6,Nico RosbergROS,DNF,1,,https://www.formula1.com/en/results/2014/races/911/singapore/race-result,,,
2014,15,11,Sergio PerezPER,DNF,0,,https://www.formula1.com/en/results/2014/races/912/japan/race-result,,,F1 contemporary report says Perez finished tenth; override DNF label.
